month,dim,code,label,maker,count
202505,model,4731,볼보 EX40,볼보,2
202505,model,4400,현대 카운티 일렉트릭,현대,18
202505,model,4048,벤츠 EQS,벤츠,2
202505,model,4634,벤츠 EQS,벤츠,2
202505,model,4511,벤츠 마이바흐 EQS SUV,벤츠,11
202505,model,4565,캐딜락 에스컬레이드 IQ,캐딜락,0
202505,model,4433,롤스로이스 스펙터,롤스로이스,4
202506,model,4647,EV3,기아,1884
202506,model,4712,EV4,기아,1073
202506,model,4499,EV5,기아,0
202506,model,4641,EV6,기아,727
202506,model,4128,EV9,기아,113
202506,model,4714,PV5,기아,0
202506,model,4691,레이 EV,기아,1305
202506,model,4404,봉고3 EV,기아,252
202506,model,4624,아이오닉5,현대,1464
202506,model,4558,아이오닉5 N,현대,25
202506,model,4746,아이오닉6,현대,0
202506,model,4088,아이오닉9,현대,767
202506,model,4653,캐스퍼 일렉트릭,현대,620
202506,model,4399,포터2 일렉트릭,현대,660
202506,model,4510,코나 일렉트릭,현대,322
202506,model,4770,스타리아 일렉트릭,현대,0
202506,model,4660,Electrified G80,제네시스,78
202506,model,4705,Electrified GV70,제네시스,105
202506,model,4701,GV60,제네시스,80
202506,model,4761,GV60 MAGMA,제네시스,0
202506,model,4667,테슬라 모델Y,테슬라,6162
202506,model,4610,테슬라 모델3,테슬라,210
202506,model,4027,테슬라 모델X,테슬라,2
202506,model,4043,테슬라 모델S,테슬라,3
202506,model,3825,테슬라 사이버트럭,테슬라,0
202506,model,4704,BYD 돌핀,BYD,0
202506,model,4706,BYD 씨라이언7,BYD,0
202506,model,4702,BYD 아토3,BYD,214
202506,model,4703,BYD 씰,BYD,6
202506,model,4446,볼보 EX30,볼보,105
202506,model,4750,볼보 EX30 CC,볼보,0
202506,model,4513,폴스타 4,폴스타,118
202506,model,4062,아우디 Q4 e-tron,아우디,347
202506,model,4690,아우디 Q6 e-tron,아우디,86
202506,model,4142,아우디 A6 e-tron,아우디,0
202506,model,4436,아우디 Q8 e-tron,아우디,1
202506,model,4759,아우디 e-tron GT,아우디,0
202506,model,4528,BMW i5,BMW,168
202506,model,4639,BMW i4,BMW,69
202506,model,4181,BMW i7,BMW,63
202506,model,4708,BMW iX,BMW,1
202506,model,4372,BMW iX1,BMW,27
202506,model,4582,BMW iX2,BMW,32
202506,model,4751,BMW iX3,BMW,0
202506,model,4569,벤츠 EQB,벤츠,4
202506,model,4430,벤츠 EQE SUV,벤츠,29
202506,model,4111,벤츠 EQE,벤츠,1
202506,model,4381,벤츠 EQS SUV,벤츠,20
202506,model,4568,벤츠 EQA,벤츠,25
202506,model,4638,벤츠 EQG(G-Class EV),벤츠,23
202506,model,4571,미니 일렉트릭,미니,172
202506,model,4572,미니 컨트리맨 일렉트릭,미니,39
202506,model,4640,미니 에이스맨,미니,41
202506,model,4613,포르쉐 마칸 일렉트릭,포르쉐,187
202506,model,4619,포르쉐 타이칸,포르쉐,137
202506,model,4005,폭스바겐 ID.4,폭스바겐,222
202506,model,4121,폭스바겐 ID.5,폭스바겐,261
202506,model,3687,테슬라 모델Y,테슬라,0
202506,model,4087,아이오닉6,현대,674
202506,model,4015,GV60,제네시스,0
202506,model,4046,BMW i4,BMW,0
202506,model,3983,BMW iX3,BMW,75
202506,model,4009,BMW iX,BMW,36
202506,model,4039,아우디 e-tron GT,아우디,13
202506,model,3667,아우디 e-tron,아우디,3
202506,model,4468,폴스타 2,폴스타,143
202506,model,4632,르노 세닉 E-Tech,르노,10
202506,model,4731,볼보 EX40,볼보,19
202506,model,4400,현대 카운티 일렉트릭,현대,28
202506,model,4048,벤츠 EQS,벤츠,3
202506,model,4634,벤츠 EQS,벤츠,1
202506,model,4511,벤츠 마이바흐 EQS SUV,벤츠,5
202506,model,4565,캐딜락 에스컬레이드 IQ,캐딜락,0
202506,model,4433,롤스로이스 스펙터,롤스로이스,2
202507,model,4647,EV3,기아,2199
202507,model,4712,EV4,기아,1485
202507,model,4499,EV5,기아,0
202507,model,4641,EV6,기아,936
202507,model,4128,EV9,기아,173
202507,model,4714,PV5,기아,0
202507,model,4691,레이 EV,기아,1442
202507,model,4404,봉고3 EV,기아,684
202507,model,4624,아이오닉5,현대,1474
202507,model,4558,아이오닉5 N,현대,36
202507,model,4746,아이오닉6,현대,0
202507,model,4088,아이오닉9,현대,1137
202507,model,4653,캐스퍼 일렉트릭,현대,648
202507,model,4399,포터2 일렉트릭,현대,928
202507,model,4510,코나 일렉트릭,현대,365
202507,model,4770,스타리아 일렉트릭,현대,0
202507,model,4660,Electrified G80,제네시스,75
202507,model,4705,Electrified GV70,제네시스,109
202507,model,4701,GV60,제네시스,81
202507,model,4761,GV60 MAGMA,제네시스,0
202507,model,4667,테슬라 모델Y,테슬라,6559
202507,model,4610,테슬라 모델3,테슬라,798
202507,model,4027,테슬라 모델X,테슬라,0
202507,model,4043,테슬라 모델S,테슬라,0
202507,model,3825,테슬라 사이버트럭,테슬라,0
202507,model,4704,BYD 돌핀,BYD,0
202507,model,4706,BYD 씨라이언7,BYD,0
202507,model,4702,BYD 아토3,BYD,254
202507,model,4703,BYD 씰,BYD,38
202507,model,4446,볼보 EX30,볼보,68
202507,model,4750,볼보 EX30 CC,볼보,0
202507,model,4513,폴스타 4,폴스타,198
202507,model,4062,아우디 Q4 e-tron,아우디,430
202507,model,4690,아우디 Q6 e-tron,아우디,123
202507,model,4142,아우디 A6 e-tron,아우디,0
202507,model,4436,아우디 Q8 e-tron,아우디,1
202507,model,4759,아우디 e-tron GT,아우디,0
202507,model,4528,BMW i5,BMW,174
202507,model,4639,BMW i4,BMW,75
202507,model,4181,BMW i7,BMW,67
202507,model,4708,BMW iX,BMW,2
202507,model,4372,BMW iX1,BMW,49
202507,model,4582,BMW iX2,BMW,23
202507,model,4751,BMW iX3,BMW,0
202507,model,4569,벤츠 EQB,벤츠,20
202507,model,4430,벤츠 EQE SUV,벤츠,36
202507,model,4111,벤츠 EQE,벤츠,3
202507,model,4381,벤츠 EQS SUV,벤츠,61
202507,model,4568,벤츠 EQA,벤츠,48
202507,model,4638,벤츠 EQG(G-Class EV),벤츠,23
202507,model,4571,미니 일렉트릭,미니,116
202507,model,4572,미니 컨트리맨 일렉트릭,미니,37
202507,model,4640,미니 에이스맨,미니,35
202507,model,4613,포르쉐 마칸 일렉트릭,포르쉐,170
202507,model,4619,포르쉐 타이칸,포르쉐,245
202507,model,4005,폭스바겐 ID.4,폭스바겐,302
202507,model,4121,폭스바겐 ID.5,폭스바겐,79
202507,model,3687,테슬라 모델Y,테슬라,0
202507,model,4087,아이오닉6,현대,616
202507,model,4015,GV60,제네시스,0
202507,model,4046,BMW i4,BMW,0
202507,model,3983,BMW iX3,BMW,79
202507,model,4009,BMW iX,BMW,5
202507,model,4039,아우디 e-tron GT,아우디,13
202507,model,3667,아우디 e-tron,아우디,0
202507,model,4468,폴스타 2,폴스타,25
202507,model,4632,르노 세닉 E-Tech,르노,0
202507,model,4731,볼보 EX40,볼보,2
202507,model,4400,현대 카운티 일렉트릭,현대,15
202507,model,4048,벤츠 EQS,벤츠,2
202507,model,4634,벤츠 EQS,벤츠,4
202507,model,4511,벤츠 마이바흐 EQS SUV,벤츠,3
202507,model,4565,캐딜락 에스컬레이드 IQ,캐딜락,0
202507,model,4433,롤스로이스 스펙터,롤스로이스,1
202508,model,4647,EV3,기아,2317
202508,model,4712,EV4,기아,1124
202508,model,4499,EV5,기아,0
202508,model,4641,EV6,기아,1080
202508,model,4128,EV9,기아,112
202508,model,4714,PV5,기아,161
202508,model,4691,레이 EV,기아,1021
202508,model,4404,봉고3 EV,기아,644
202508,model,4624,아이오닉5,현대,1640
202508,model,4558,아이오닉5 N,현대,22
202508,model,4746,아이오닉6,현대,230
202508,model,4088,아이오닉9,현대,926
202508,model,4653,캐스퍼 일렉트릭,현대,456
202508,model,4399,포터2 일렉트릭,현대,1294
202508,model,4510,코나 일렉트릭,현대,540
202508,model,4770,스타리아 일렉트릭,현대,0
202508,model,4660,Electrified G80,제네시스,81
202508,model,4705,Electrified GV70,제네시스,101
202508,model,4701,GV60,제네시스,91
202508,model,4761,GV60 MAGMA,제네시스,0
202508,model,4667,테슬라 모델Y,테슬라,6683
202508,model,4610,테슬라 모델3,테슬라,1291
202508,model,4027,테슬라 모델X,테슬라,0
202508,model,4043,테슬라 모델S,테슬라,0
202508,model,3825,테슬라 사이버트럭,테슬라,0
202508,model,4704,BYD 돌핀,BYD,0
202508,model,4706,BYD 씨라이언7,BYD,3
202508,model,4702,BYD 아토3,BYD,230
202508,model,4703,BYD 씰,BYD,136
202508,model,4446,볼보 EX30,볼보,52
202508,model,4750,볼보 EX30 CC,볼보,4
202508,model,4513,폴스타 4,폴스타,252
202508,model,4062,아우디 Q4 e-tron,아우디,444
202508,model,4690,아우디 Q6 e-tron,아우디,290
202508,model,4142,아우디 A6 e-tron,아우디,32
